date,close,open,high,low,volume
2020-11-09T00:00:00-05:00,91.19,92.97,93.55,91.17,1905000.0
2020-11-10T00:00:00-05:00,88.61,88.36,90.59,88.16,1760000.0
2020-11-11T00:00:00-05:00,89.87,89.89,91.71,89.39,1416000.0
2020-11-12T00:00:00-05:00,90.14,89.71,90.57,87.73,1265000.0
2020-11-13T00:00:00-05:00,91.71,90.6,92.4,90.6,954000.0
2020-11-16T00:00:00-05:00,91.56,91.88,92.43,91.06,910000.0
2020-11-17T00:00:00-05:00,91.41,91.21,92.18,90.11,1331000.0
2020-11-18T00:00:00-05:00,88.55,91.09,91.15,88.32,1534000.0
2020-11-19T00:00:00-05:00,89.47,88.31,89.91,87.88,1131000.0
2020-11-20T00:00:00-05:00,89.21,89.45,90.14,89.08,892000.0
2020-11-23T00:00:00-05:00,88.78,90.6,91.0,87.63,1813000.0
2020-11-24T00:00:00-05:00,86.99,89.29,89.41,86.87,896000.0
2020-11-25T00:00:00-05:00,88.01,87.28,88.07,86.81,1084000.0
2020-11-27T00:00:00-05:00,88.44,87.58,89.04,87.1,521000.0
2020-11-30T00:00:00-05:00,91.06,88.73,91.49,88.7,3209000.0
2020-12-01T00:00:00-05:00,88.89,91.97,92.69,88.74,2581000.0
2020-12-02T00:00:00-05:00,86.87,89.31,89.45,86.36,3238000.0
2020-12-03T00:00:00-05:00,87.07,86.43,87.58,86.14,2143000.0
2020-12-04T00:00:00-05:00,89.32,87.21,89.68,87.21,1634000.0
2020-12-07T00:00:00-05:00,88.36,90.04,90.04,87.72,1195000.0
2020-12-08T00:00:00-05:00,87.25,88.2,89.48,87.0,1407000.0
2020-12-09T00:00:00-05:00,85.33,87.22,87.22,85.11,1622000.0
2020-12-10T00:00:00-05:00,84.84,84.73,85.75,84.02,1423000.0
2020-12-11T00:00:00-05:00,84.86,84.74,86.4,84.32,1776000.0
2020-12-14T00:00:00-05:00,85.32,85.0,86.08,84.6,1506000.0
2020-12-15T00:00:00-05:00,86.64,85.32,87.21,85.04,1495000.0
2020-12-16T00:00:00-05:00,86.09,86.8,87.8,85.8,1089000.0
2020-12-17T00:00:00-05:00,89.4,86.48,89.52,86.48,2871000.0
2020-12-18T00:00:00-05:00,90.47,90.45,91.82,89.47,5254000.0
2020-12-21T00:00:00-05:00,91.59,88.95,92.45,88.06,2424000.0
2020-12-22T00:00:00-05:00,90.53,92.06,92.59,89.73,1470000.0
2020-12-23T00:00:00-05:00,90.78,90.18,92.01,90.18,917000.0
2020-12-24T00:00:00-05:00,90.66,90.8,91.6,90.31,431000.0
2020-12-28T00:00:00-05:00,93.95,91.52,95.12,91.1,3851000.0
2020-12-29T00:00:00-05:00,91.82,94.45,94.45,91.28,1091000.0
2020-12-30T00:00:00-05:00,92.5,91.95,92.76,90.62,1774000.0
2020-12-31T00:00:00-05:00,92.43,92.33,92.95,91.81,1400000.0
2021-01-04T00:00:00-05:00,89.53,93.22,93.68,89.1,2161000.0
2021-01-05T00:00:00-05:00,89.38,89.47,91.52,88.39,2421000.0
2021-01-06T00:00:00-05:00,89.67,89.55,91.71,89.15,2203000.0
2021-01-07T00:00:00-05:00,90.55,90.28,92.41,89.85,2116000.0
2021-01-08T00:00:00-05:00,91.95,91.14,92.45,90.68,1539000.0
2021-01-11T00:00:00-05:00,90.44,91.38,91.91,90.25,1182000.0
2021-01-12T00:00:00-05:00,88.23,90.23,90.84,88.22,1551000.0
2021-01-13T00:00:00-05:00,89.19,88.28,90.45,87.7,2188000.0
2021-01-14T00:00:00-05:00,86.83,89.15,89.96,86.6,2007000.0
2021-01-15T00:00:00-05:00,85.37,87.26,87.77,85.18,2118000.0
2021-01-19T00:00:00-05:00,87.2,85.99,87.78,85.12,3028000.0
2021-01-20T00:00:00-05:00,89.98,87.96,90.39,87.32,3039000.0
2021-01-21T00:00:00-05:00,91.2,90.5,91.5,89.4,2902000.0
2021-01-22T00:00:00-05:00,89.61,91.31,92.23,89.44,2965000.0
2021-01-25T00:00:00-05:00,90.93,90.2,91.07,88.23,3125000.0
