date,close,open,high,low,volume
2020-11-09T00:00:00-05:00,2.9,3.07,3.14,2.86,71551.0
2020-11-10T00:00:00-05:00,2.9,2.86,2.92,2.8407,39279.0
2020-11-11T00:00:00-05:00,2.91,2.89,2.92,2.85,30736.0
2020-11-12T00:00:00-05:00,2.85,2.87,2.9112,2.81,44646.0
2020-11-13T00:00:00-05:00,2.91,2.83,2.92,2.83,17428.0
2020-11-16T00:00:00-05:00,2.91,2.91,2.97,2.89,32776.0
2020-11-17T00:00:00-05:00,2.8901,2.925,2.96,2.89,25562.0
2020-11-18T00:00:00-05:00,3.02,2.9,3.04,2.89,94070.0
2020-11-19T00:00:00-05:00,3.01,3.03,3.07,3.0,27386.0
2020-11-20T00:00:00-05:00,2.98,3.02,3.0357,2.96,21910.0
2020-11-23T00:00:00-05:00,3.01,3.0045,3.035,2.9711,33368.0
2020-11-24T00:00:00-05:00,3.0799,3.07,3.15,3.05,38771.0
2020-11-25T00:00:00-05:00,3.2,3.07,3.2,3.07,52445.0
2020-11-27T00:00:00-05:00,3.17,3.2,3.24,3.17,25632.0
2020-11-30T00:00:00-05:00,3.08,3.24,3.24,3.05,49373.0
2020-12-01T00:00:00-05:00,3.15,3.1,3.2399,3.1,34979.0
2020-12-02T00:00:00-05:00,3.12,3.145,3.19,3.0836,46343.0
2020-12-03T00:00:00-05:00,3.09,3.1,3.15,3.08,20032.0
2020-12-04T00:00:00-05:00,3.11,3.13,3.13,3.06,73138.0
2020-12-07T00:00:00-05:00,3.2373,3.12,3.2373,3.07,52821.0
2020-12-08T00:00:00-05:00,3.08,3.2,3.21,3.04,33625.0
2020-12-09T00:00:00-05:00,3.0,3.11,3.13,2.92,62322.0
2020-12-10T00:00:00-05:00,3.0225,3.0,3.08,2.995,35386.0
2020-12-11T00:00:00-05:00,3.05,3.0261,3.05,2.98,44987.0
2020-12-14T00:00:00-05:00,3.05,3.03,3.1397,3.0,39498.0
2020-12-15T00:00:00-05:00,3.14,3.09,3.15,3.0714,48572.0
2020-12-16T00:00:00-05:00,3.16,3.15,3.195,3.09,35613.0
2020-12-17T00:00:00-05:00,3.14,3.19,3.29,3.1001,112049.0
2020-12-18T00:00:00-05:00,3.17,3.2,3.22,3.17,100048.0
2020-12-21T00:00:00-05:00,3.2,3.2,3.248,3.12,143146.0
2020-12-22T00:00:00-05:00,3.15,3.22,3.24,3.13,72254.0
2020-12-23T00:00:00-05:00,3.17,3.2491,3.25,3.15,123418.0
2020-12-24T00:00:00-05:00,3.2,3.18,3.2,3.16,28426.0
2020-12-28T00:00:00-05:00,3.23,3.25,3.25,3.2,95039.0
2020-12-29T00:00:00-05:00,3.27,3.25,3.27,3.2002,94424.0
2020-12-30T00:00:00-05:00,3.09,3.29,3.3,3.07,67909.0
2020-12-31T00:00:00-05:00,3.06,3.12,3.2,3.03,102018.0
2021-01-04T00:00:00-05:00,3.2,3.1,3.24,3.1,57915.0
2021-01-05T00:00:00-05:00,3.28,3.22,3.29,3.22,62217.0
2021-01-06T00:00:00-05:00,3.23,3.25,3.3,3.21,54191.0
2021-01-07T00:00:00-05:00,3.24,3.27,3.27,3.23,43826.0
2021-01-08T00:00:00-05:00,3.2,3.2401,3.25,3.2,46400.0
2021-01-11T00:00:00-05:00,3.2,3.19,3.2,3.18,40642.0
2021-01-12T00:00:00-05:00,3.22,3.2,3.23,3.12,98324.0
2021-01-13T00:00:00-05:00,3.28,3.22,3.3,3.17,189702.0
2021-01-14T00:00:00-05:00,3.45,3.3,3.48,3.3,118351.0
2021-01-15T00:00:00-05:00,3.55,3.46,3.65,3.46,66216.0
2021-01-19T00:00:00-05:00,3.6,3.56,3.6,3.4,121558.0
2021-01-20T00:00:00-05:00,3.68,3.495,3.69,3.495,40736.0
2021-01-21T00:00:00-05:00,3.75,3.65,3.84,3.65,28061.0
2021-01-22T00:00:00-05:00,3.69,3.7,3.76,3.6401,34772.0
2021-01-25T00:00:00-05:00,3.64,3.74,3.76,3.5501,39288.0
2021-01-26T00:00:00-05:00,3.62,3.6612,3.6678,3.6086,6212.0
2021-01-27T00:00:00-05:00,3.49,3.58,3.58,3.45,27160.0
2021-01-28T00:00:00-05:00,3.5,3.47,3.5,3.36,58166.0
2021-01-29T00:00:00-05:00,3.44,3.45,3.51,3.39,33060.0
2021-02-01T00:00:00-05:00,3.64,3.48,3.64,3.37,79456.0
2021-02-02T00:00:00-05:00,3.65,3.64,3.665,3.6,13798.0
2021-02-03T00:00:00-05:00,4.0,3.69,4.0,3.66,61085.0
2021-02-04T00:00:00-05:00,3.97,4.04,4.09,3.91,24195.0
2021-02-05T00:00:00-05:00,4.0,3.98,4.0,3.9301,21136.0
2021-02-08T00:00:00-05:00,4.1,4.06,4.1,3.98,26350.0
2021-02-09T00:00:00-05:00,4.22,4.0439,4.34,4.0439,57107.0
2021-02-10T00:00:00-05:00,4.28,4.2785,4.33,4.2,28148.0
2021-02-11T00:00:00-05:00,4.3,4.32,4.33,4.22,26256.0
2021-02-12T00:00:00-05:00,4.29,4.33,4.33,4.2,28128.0
2021-02-16T00:00:00-05:00,4.39,4.3,4.41,4.3,16931.0
2021-02-17T00:00:00-05:00,4.27,4.39,4.4098,4.27,22447.0
2021-02-18T00:00:00-05:00,4.24,4.28,4.37,4.19,19696.0
2021-02-19T00:00:00-05:00,4.27,4.2501,4.35,4.22,15553.0
2021-02-22T00:00:00-05:00,4.35,4.25,4.36,4.2,23578.0
2021-02-23T00:00:00-05:00,4.26,4.34,4.34,4.1,24803.0
2021-02-24T00:00:00-05:00,4.1,4.2225,4.2628,4.1,25550.0
2021-02-25T00:00:00-05:00,4.09,4.15,4.1999,4.0178,22985.0
2021-02-26T00:00:00-05:00,4.02,4.128,4.128,3.9701,25392.0
2021-03-01T00:00:00-05:00,3.96,4.05,4.05,3.91,18974.0
2021-03-02T00:00:00-05:00,4.0,3.93,4.05,3.8,37452.0
2021-03-03T00:00:00-05:00,3.98,3.8712,4.06,3.8628,34119.0
2021-03-04T00:00:00-05:00,3.82,4.06,4.08,3.7705,33702.0
2021-03-05T00:00:00-05:00,3.76,3.8501,3.92,3.7,61671.0
2021-03-08T00:00:00-05:00,4.09,3.75,4.18,3.75,71220.0
2021-03-09T00:00:00-05:00,4.02,4.14,4.14,3.99,35617.0
2021-03-10T00:00:00-05:00,4.09,4.1,4.1399,4.0107,23117.0
2021-03-11T00:00:00-05:00,4.12,4.15,4.15,4.02,22785.0
2021-03-12T00:00:00-05:00,4.07,4.09,4.1,3.91,29867.0
2021-03-15T00:00:00-04:00,4.03,4.02,4.04,3.91,14653.0
2021-03-16T00:00:00-04:00,3.97,4.05,4.05,3.889,18736.0
2021-03-17T00:00:00-04:00,3.92,3.94,3.99,3.805,19278.0
2021-03-18T00:00:00-04:00,3.83,3.84,3.86,3.8,47821.0
2021-03-19T00:00:00-04:00,3.62,3.83,3.85,3.62,123233.0
2021-03-22T00:00:00-04:00,3.65,3.74,3.805,3.62,55394.0
2021-03-23T00:00:00-04:00,3.54,3.67,3.67,3.54,35726.0
2021-03-24T00:00:00-04:00,3.58,3.59,3.6074,3.56,25598.0
2021-03-25T00:00:00-04:00,3.64,3.56,3.64,3.55,41178.0
2021-03-26T00:00:00-04:00,3.67,3.62,3.745,3.6,40815.0
2021-03-29T00:00:00-04:00,3.55,3.68,3.81,3.54,18279.0
2021-03-30T00:00:00-04:00,4.14,3.55,4.19,3.54,398145.0
2021-03-31T00:00:00-04:00,3.86,4.11,4.11,3.81,50296.0
2021-04-01T00:00:00-04:00,3.85,3.95,4.04,3.74,137085.0
2021-04-05T00:00:00-04:00,3.96,3.86,3.98,3.81,56061.0
2021-04-06T00:00:00-04:00,4.22,4.01,4.25,4.0,89039.0
2021-04-07T00:00:00-04:00,4.2,4.25,4.25,4.15,28010.0
2021-04-08T00:00:00-04:00,4.49,4.2,4.5,4.05,80043.0
2021-04-09T00:00:00-04:00,4.41,4.52,4.7,4.37,98623.0
2021-04-12T00:00:00-04:00,4.2,4.47,4.49,4.15,62771.0
2021-04-13T00:00:00-04:00,4.2,4.2,4.22,4.06,27712.0
2021-04-14T00:00:00-04:00,4.29,4.25,4.34,4.22,21408.0
2021-04-15T00:00:00-04:00,4.27,4.25,4.28,4.25,15983.0
2021-04-16T00:00:00-04:00,4.23,4.3074,4.32,4.06,17607.0
2021-04-19T00:00:00-04:00,3.94,4.2101,4.2138,3.81,139254.0
2021-04-20T00:00:00-04:00,4.19,4.15,4.21,4.05,171781.0
2021-04-21T00:00:00-04:00,4.17,4.19,4.195,4.12,34976.0
2021-04-22T00:00:00-04:00,4.16,4.21,4.2261,4.138,17822.0
2021-04-23T00:00:00-04:00,4.17,4.2,4.21,4.07,43210.0
2021-04-26T00:00:00-04:00,4.17,4.17,4.23,4.16,7093.0
2021-04-27T00:00:00-04:00,4.2,4.16,4.2,4.16,42275.0
2021-04-28T00:00:00-04:00,4.4,4.2,4.49,4.18,84485.0
2021-04-29T00:00:00-04:00,4.39,4.39,4.45,4.35,30324.0
2021-04-30T00:00:00-04:00,4.16,4.39,4.39,4.15,34122.0
2021-05-03T00:00:00-04:00,4.21,4.16,4.3248,4.16,7229.0
2021-05-04T00:00:00-04:00,4.17,4.19,4.3599,4.15,6934.0
2021-05-05T00:00:00-04:00,4.34,4.21,4.34,4.12,20437.0
2021-05-06T00:00:00-04:00,4.17,4.32,4.32,4.12,20949.0
2021-05-07T00:00:00-04:00,4.24,4.15,4.24,4.11,20786.0
2021-05-10T00:00:00-04:00,4.15,4.2,4.26,4.15,17127.0
2021-05-11T00:00:00-04:00,4.2,4.15,4.2,4.12,17138.0
2021-05-12T00:00:00-04:00,4.44,4.4,4.45,4.1597,84986.0
2021-05-13T00:00:00-04:00,4.31,4.48,4.5678,4.17,27055.0
2021-05-14T00:00:00-04:00,4.31,4.27,4.38,4.25,58662.0
2021-05-17T00:00:00-04:00,4.44,4.34,4.44,4.3001,48914.0
2021-05-18T00:00:00-04:00,4.42,4.44,4.44,4.4,17870.0
2021-05-19T00:00:00-04:00,4.65,4.42,4.7,4.355,165271.0
