date,close,open,high,low,volume
2020-11-09T00:00:00-05:00,10.56,13.0,13.3,10.55,4151703.0
2020-11-10T00:00:00-05:00,10.93,10.61,11.02,10.59,1932007.0
2020-11-11T00:00:00-05:00,10.64,11.07,11.13,10.6,1499491.0
2020-11-12T00:00:00-05:00,10.42,10.56,10.85,10.355,1998648.0
2020-11-13T00:00:00-05:00,10.71,10.53,10.79,10.53,1772925.0
2020-11-16T00:00:00-05:00,10.96,10.98,11.21,10.74,1267436.0
2020-11-17T00:00:00-05:00,10.95,10.9,10.98,10.395,1273561.0
2020-11-18T00:00:00-05:00,10.89,11.0,11.13,10.8,1394526.0
2020-11-19T00:00:00-05:00,11.23,10.82,11.6338,10.72,1458451.0
2020-11-20T00:00:00-05:00,11.23,11.15,11.27,10.96,1307428.0
2020-11-23T00:00:00-05:00,11.71,11.38,11.77,11.25,1104324.0
2020-11-24T00:00:00-05:00,12.0,11.94,12.18,11.82,1265311.0
2020-11-25T00:00:00-05:00,12.35,11.85,12.58,11.65,2028822.0
2020-11-27T00:00:00-05:00,12.27,12.31,12.39,12.04,485395.0
2020-11-30T00:00:00-05:00,12.31,12.2,12.35,11.98,2135482.0
2020-12-01T00:00:00-05:00,12.8,12.49,13.2,12.45,1507030.0
2020-12-02T00:00:00-05:00,12.41,12.67,12.71,12.06,1345357.0
2020-12-03T00:00:00-05:00,12.77,12.49,13.13,12.455,1610976.0
2020-12-04T00:00:00-05:00,12.98,12.92,12.99,12.63,805448.0
2020-12-07T00:00:00-05:00,12.89,13.0,13.0,12.57,1294869.0
2020-12-08T00:00:00-05:00,13.2,12.75,13.2,12.63,1436438.0
2020-12-09T00:00:00-05:00,13.75,13.34,14.46,13.28,2137630.0
2020-12-10T00:00:00-05:00,13.72,13.57,13.91,13.35,1042109.0
2020-12-11T00:00:00-05:00,13.41,13.55,13.69,12.925,1184470.0
2020-12-14T00:00:00-05:00,13.23,13.41,13.53,13.08,1814334.0
2020-12-15T00:00:00-05:00,14.12,13.34,14.36,13.2,1385637.0
2020-12-16T00:00:00-05:00,14.18,14.16,14.36,13.98,1012650.0
2020-12-17T00:00:00-05:00,15.04,14.38,15.06,14.17,1146383.0
2020-12-18T00:00:00-05:00,14.89,15.14,15.77,14.86,1998989.0
2020-12-21T00:00:00-05:00,14.85,14.9,15.4,14.65,879871.0
2020-12-22T00:00:00-05:00,14.32,14.85,14.85,14.18,1867347.0
2020-12-23T00:00:00-05:00,13.93,14.43,14.62,13.92,886380.0
2020-12-24T00:00:00-05:00,14.03,13.92,14.23,13.92,212808.0
2020-12-28T00:00:00-05:00,13.58,14.16,14.41,13.57,5647856.0
2020-12-29T00:00:00-05:00,13.46,13.85,13.93,13.335,820345.0
2020-12-30T00:00:00-05:00,13.3,13.53,13.67,13.235,877049.0
2020-12-31T00:00:00-05:00,13.12,13.33,13.45,13.12,1423690.0
2021-01-04T00:00:00-05:00,13.23,13.2,13.35,12.79,1714594.0
2021-01-05T00:00:00-05:00,14.04,13.15,14.16,13.15,1842237.0
2021-01-06T00:00:00-05:00,14.74,14.22,14.9601,14.1666,3005381.0
2021-01-07T00:00:00-05:00,15.59,14.98,16.31,14.805,2036108.0
2021-01-08T00:00:00-05:00,16.26,15.79,16.4399,15.52,2519159.0
2021-01-11T00:00:00-05:00,16.16,15.97,16.27,15.78,1419150.0
2021-01-12T00:00:00-05:00,16.2,16.24,16.34,15.9625,1242022.0
2021-01-13T00:00:00-05:00,15.87,16.18,16.36,15.76,1151420.0
2021-01-14T00:00:00-05:00,16.02,16.11,16.315,15.81,1016063.0
2021-01-15T00:00:00-05:00,15.62,15.74,15.805,15.05,1047314.0
2021-01-19T00:00:00-05:00,15.51,16.02,16.05,15.33,601767.0
2021-01-20T00:00:00-05:00,16.24,15.58,16.26,15.58,837176.0
2021-01-21T00:00:00-05:00,16.42,16.26,16.5,15.95,1050942.0
2021-01-22T00:00:00-05:00,16.0,16.12,16.34,15.67,1164630.0
2021-01-25T00:00:00-05:00,15.92,15.89,16.48,15.74,1181423.0
2021-01-26T00:00:00-05:00,16.72,16.08,16.99,15.85,1386180.0
2021-01-27T00:00:00-05:00,16.48,16.04,16.86,16.01,1821125.0
2021-01-28T00:00:00-05:00,15.48,16.81,16.88,15.48,1497179.0
2021-01-29T00:00:00-05:00,14.2,15.34,15.6,14.04,2776661.0
2021-02-01T00:00:00-05:00,14.92,14.27,14.96,13.92,1270990.0
2021-02-02T00:00:00-05:00,16.13,14.96,16.25,14.84,1556498.0
2021-02-03T00:00:00-05:00,15.76,16.02,16.12,15.48,1376779.0
2021-02-04T00:00:00-05:00,16.27,15.78,16.39,15.6706,1226265.0
2021-02-05T00:00:00-05:00,16.64,16.55,16.89,16.21,1603756.0
2021-02-08T00:00:00-05:00,17.16,16.8,17.21,16.67,1363365.0
2021-02-09T00:00:00-05:00,17.15,17.09,17.37,16.71,1182316.0
2021-02-10T00:00:00-05:00,16.87,17.31,17.45,16.66,729708.0
2021-02-11T00:00:00-05:00,18.02,17.19,18.35,17.0,1831148.0
2021-02-12T00:00:00-05:00,18.11,17.92,18.4,17.785,1027026.0
2021-02-16T00:00:00-05:00,18.23,18.15,18.94,17.85,1088370.0
2021-02-17T00:00:00-05:00,18.15,18.13,18.39,17.71,1470303.0
2021-02-18T00:00:00-05:00,17.53,18.14,18.34,17.47,1097939.0
2021-02-19T00:00:00-05:00,18.25,17.56,18.27,17.49,1134982.0
2021-02-22T00:00:00-05:00,17.92,17.97,18.585,17.86,1147165.0
2021-02-23T00:00:00-05:00,15.2,16.5,16.77,14.34,4600071.0
2021-02-24T00:00:00-05:00,15.61,15.22,15.97,15.22,2160053.0
2021-02-25T00:00:00-05:00,14.1,15.6,15.8,13.98,2088834.0
2021-02-26T00:00:00-05:00,15.08,14.27,15.28,13.98,2495009.0
2021-03-01T00:00:00-05:00,15.15,15.25,15.71,14.96,2087278.0
2021-03-02T00:00:00-05:00,14.67,15.0,15.295,14.65,1637775.0
2021-03-03T00:00:00-05:00,14.58,14.74,14.99,14.29,1464887.0
2021-03-04T00:00:00-05:00,13.09,14.35,14.82,12.89,2535329.0
2021-03-05T00:00:00-05:00,14.68,13.32,14.75,13.03,2294676.0
2021-03-08T00:00:00-05:00,15.07,14.58,15.14,14.43,1948616.0
2021-03-09T00:00:00-05:00,15.77,15.51,16.07,15.25,1782021.0
2021-03-10T00:00:00-05:00,16.4,16.09,16.6,15.92,1707594.0
2021-03-11T00:00:00-05:00,16.72,16.82,16.88,16.25,2230448.0
2021-03-12T00:00:00-05:00,16.6,16.67,17.02,16.5,1397936.0
2021-03-15T00:00:00-04:00,17.18,16.43,17.36,16.19,2386877.0
2021-03-16T00:00:00-04:00,16.68,17.44,17.445,16.65,1196594.0
2021-03-17T00:00:00-04:00,16.97,16.51,16.99,16.29,1496419.0
2021-03-18T00:00:00-04:00,15.95,16.75,16.93,15.9,988380.0
2021-03-19T00:00:00-04:00,15.82,15.87,15.985,15.21,1890315.0
2021-03-22T00:00:00-04:00,15.71,15.89,15.99,15.56,1206318.0
2021-03-23T00:00:00-04:00,14.67,15.47,15.51,14.54,1099720.0
2021-03-24T00:00:00-04:00,14.55,14.95,15.29,14.51,1102976.0
2021-03-25T00:00:00-04:00,14.81,14.18,14.94,13.97,1221780.0
2021-03-26T00:00:00-04:00,15.25,15.04,15.25,14.73,879296.0
2021-03-29T00:00:00-04:00,14.74,15.14,15.52,14.7,772576.0
2021-03-30T00:00:00-04:00,15.21,14.91,15.35,14.67,1035879.0
2021-03-31T00:00:00-04:00,15.13,15.34,15.515,15.07,1432930.0
2021-04-01T00:00:00-04:00,15.72,15.48,15.75,15.199,1120928.0
2021-04-05T00:00:00-04:00,15.72,16.01,16.01,15.38,818920.0
2021-04-06T00:00:00-04:00,15.84,15.64,16.05,15.64,818940.0
2021-04-07T00:00:00-04:00,15.3,15.89,15.98,15.24,802222.0
2021-04-08T00:00:00-04:00,15.41,15.43,15.54,15.19,1797719.0
2021-04-09T00:00:00-04:00,15.48,15.51,15.93,15.46,926192.0
2021-04-12T00:00:00-04:00,15.34,15.37,15.5,15.04,798400.0
2021-04-13T00:00:00-04:00,15.35,15.41,15.41,15.01,999544.0
2021-04-14T00:00:00-04:00,15.58,15.53,15.94,15.51,690846.0
2021-04-15T00:00:00-04:00,15.83,15.83,15.83,15.44,736279.0
2021-04-16T00:00:00-04:00,15.72,15.99,15.99,15.59,1161334.0
2021-04-19T00:00:00-04:00,15.35,15.47,15.53,15.15,652052.0
2021-04-20T00:00:00-04:00,14.62,15.25,15.335,14.49,1120171.0
2021-04-21T00:00:00-04:00,15.22,14.5,15.23,14.2878,930376.0
2021-04-22T00:00:00-04:00,15.11,15.39,15.4,15.0,655899.0
2021-04-23T00:00:00-04:00,15.29,15.38,15.5301,15.13,680836.0
2021-04-26T00:00:00-04:00,15.46,15.25,15.635,15.18,1650304.0
2021-04-27T00:00:00-04:00,15.22,15.43,15.54,15.17,841056.0
2021-04-28T00:00:00-04:00,15.25,15.22,15.3472,15.0602,972620.0
2021-04-29T00:00:00-04:00,16.83,17.0,17.92,16.61,4046897.0
2021-04-30T00:00:00-04:00,17.28,16.96,17.83,16.56,2514096.0
2021-05-03T00:00:00-04:00,17.59,17.47,17.81,17.32,1990378.0
2021-05-04T00:00:00-04:00,17.5,17.45,17.745,17.34,1226765.0
2021-05-05T00:00:00-04:00,17.44,17.51,17.87,17.44,1603745.0
2021-05-06T00:00:00-04:00,17.87,17.29,17.87,16.95,1717633.0
2021-05-07T00:00:00-04:00,17.95,17.9,18.15,17.73,825048.0
2021-05-10T00:00:00-04:00,17.43,17.85,18.17,17.4,1614253.0
2021-05-11T00:00:00-04:00,17.53,16.82,17.55,16.73,1457502.0
2021-05-12T00:00:00-04:00,16.86,17.36,17.53,16.65,1031372.0
2021-05-13T00:00:00-04:00,17.21,16.96,17.51,16.91,809820.0
2021-05-14T00:00:00-04:00,17.86,17.34,17.88,17.12,557033.0
2021-05-17T00:00:00-04:00,18.69,18.77,19.3,18.5,1764400.0
2021-05-18T00:00:00-04:00,18.51,18.7,18.99,18.5,1068501.0
2021-05-19T00:00:00-04:00,18.55,18.1,18.61,17.62,854482.0
2021-05-20T00:00:00-04:00,18.56,18.59,18.6,18.14,681791.0
2021-05-21T00:00:00-04:00,18.28,18.75,18.7656,18.27,882084.0
2021-05-24T00:00:00-04:00,18.82,18.55,18.92,18.39,749431.0
2021-05-25T00:00:00-04:00,18.51,18.99,19.49,18.51,1254945.0
2021-05-26T00:00:00-04:00,19.43,18.55,19.44,18.48,942577.0
2021-05-27T00:00:00-04:00,17.49,18.03,18.36,17.32,6418770.0
2021-05-28T00:00:00-04:00,17.71,17.55,17.8,17.25,5395367.0
2021-06-01T00:00:00-04:00,17.79,17.75,17.88,17.43,1399685.0
2021-06-02T00:00:00-04:00,17.72,17.85,17.88,17.51,1948344.0
2021-06-03T00:00:00-04:00,17.74,17.61,18.065,17.35,1448594.0
2021-06-04T00:00:00-04:00,17.7,17.91,18.02,17.68,784508.0
2021-06-07T00:00:00-04:00,17.81,17.7,17.98,17.4841,1409852.0
2021-06-08T00:00:00-04:00,18.49,17.83,18.58,17.83,1822052.0
2021-06-09T00:00:00-04:00,18.15,18.69,18.74,18.15,1860170.0
2021-06-10T00:00:00-04:00,17.53,18.2,18.2999,17.48,851616.0
2021-06-11T00:00:00-04:00,17.86,17.77,17.97,17.655,523453.0
2021-06-14T00:00:00-04:00,17.16,17.94,17.99,17.12,1011813.0
2021-06-15T00:00:00-04:00,17.56,17.1,17.59,17.08,1565054.0
2021-06-16T00:00:00-04:00,17.58,17.41,17.69,17.15,794117.0
2021-06-17T00:00:00-04:00,17.52,17.39,17.58,17.15,835732.0
2021-06-18T00:00:00-04:00,17.11,17.09,17.22,16.85,2021506.0
2021-06-21T00:00:00-04:00,17.53,17.29,17.63,17.05,755413.0
2021-06-22T00:00:00-04:00,17.57,17.43,17.7,17.21,817838.0
2021-06-23T00:00:00-04:00,17.54,17.73,17.78,17.45,1278104.0
2021-06-24T00:00:00-04:00,17.85,17.65,17.905,17.4,529713.0
2021-06-25T00:00:00-04:00,17.67,17.95,18.06,17.5,1979466.0
2021-06-28T00:00:00-04:00,17.77,17.68,17.94,17.39,1061343.0
2021-06-29T00:00:00-04:00,17.94,17.84,18.16,17.66,2385662.0
2021-06-30T00:00:00-04:00,18.22,17.96,18.33,17.5,3378051.0
2021-07-01T00:00:00-04:00,19.11,18.33,19.12,18.1,1518388.0
2021-07-02T00:00:00-04:00,18.75,19.25,19.25,18.557,1408593.0
2021-07-06T00:00:00-04:00,18.32,18.69,18.69,17.77,1555772.0
2021-07-07T00:00:00-04:00,18.19,18.17,18.42,17.91,849382.0
2021-07-08T00:00:00-04:00,17.97,17.72,18.385,17.42,1195962.0
2021-07-09T00:00:00-04:00,18.23,18.26,18.54,17.98,1409873.0
2021-07-12T00:00:00-04:00,18.61,18.04,18.65,18.02,2115788.0
2021-07-13T00:00:00-04:00,17.57,18.6,18.71,17.52,2464908.0
2021-07-14T00:00:00-04:00,17.02,17.63,17.93,16.87,2310854.0
2021-07-15T00:00:00-04:00,17.51,16.9,17.705,16.8,1393167.0
2021-07-16T00:00:00-04:00,17.06,17.75,17.75,17.0301,1333524.0
2021-07-19T00:00:00-04:00,16.68,16.58,16.77,16.14,1547610.0
2021-07-20T00:00:00-04:00,17.19,16.77,17.435,16.41,1405338.0
2021-07-21T00:00:00-04:00,17.98,17.49,17.99,17.41,1389248.0
2021-07-22T00:00:00-04:00,17.61,18.06,18.06,17.44,663804.0
2021-07-23T00:00:00-04:00,17.87,17.76,18.06,17.58,1054280.0
2021-07-26T00:00:00-04:00,18.0,18.08,18.44,17.82,1092586.0
2021-07-27T00:00:00-04:00,17.73,17.75,17.99,17.39,802188.0
2021-07-28T00:00:00-04:00,18.74,17.85,18.91,17.73,1928040.0
2021-07-29T00:00:00-04:00,18.56,18.65,19.6,18.345,1562120.0
2021-07-30T00:00:00-04:00,17.72,18.59,18.98,17.67,1435992.0
2021-08-02T00:00:00-04:00,17.58,18.01,18.29,17.57,1915328.0
2021-08-03T00:00:00-04:00,17.35,17.84,17.84,16.71,1839023.0
2021-08-04T00:00:00-04:00,17.47,17.19,18.0405,17.15,1606186.0
2021-08-05T00:00:00-04:00,17.77,17.56,17.89,17.45,1001097.0
2021-08-06T00:00:00-04:00,17.3,17.88,18.06,17.27,841341.0
2021-08-09T00:00:00-04:00,17.17,17.14,17.37,16.72,1770107.0
2021-08-10T00:00:00-04:00,17.13,17.19,17.32,16.95,993889.0
2021-08-11T00:00:00-04:00,17.28,17.22,17.41,17.02,1518268.0
2021-08-12T00:00:00-04:00,17.47,17.26,17.51,17.0272,1058622.0
2021-08-13T00:00:00-04:00,17.37,17.52,17.66,17.33,852743.0
2021-08-16T00:00:00-04:00,17.15,17.17,17.28,16.84,1271893.0
2021-08-17T00:00:00-04:00,16.7,16.83,16.98,16.56,1831167.0
2021-08-18T00:00:00-04:00,16.54,16.74,16.9,16.48,1352288.0
2021-08-19T00:00:00-04:00,16.37,16.19,16.52,16.17,1131133.0
2021-08-20T00:00:00-04:00,16.82,16.43,16.84,16.215,1158502.0
2021-08-23T00:00:00-04:00,16.96,17.04,17.17,16.81,884343.0
2021-08-24T00:00:00-04:00,17.25,17.13,17.45,17.02,690413.0
2021-08-25T00:00:00-04:00,17.44,17.22,17.61,17.17,937241.0
2021-08-26T00:00:00-04:00,17.35,17.34,17.46,17.23,867640.0
2021-08-27T00:00:00-04:00,17.79,17.44,17.82,17.36,1541510.0
2021-08-30T00:00:00-04:00,17.67,17.97,17.97,17.4397,960264.0
2021-08-31T00:00:00-04:00,17.55,17.62,17.97,17.43,2841704.0
2021-09-01T00:00:00-04:00,18.76,18.1,18.92,17.79,2852081.0
2021-09-02T00:00:00-04:00,18.78,18.76,18.915,18.54,1618314.0
2021-09-03T00:00:00-04:00,18.67,18.87,18.87,18.54,722384.0
2021-09-07T00:00:00-04:00,18.39,18.73,18.97,18.39,949684.0
2021-09-08T00:00:00-04:00,18.07,18.23,18.43,17.955,1145423.0
2021-09-09T00:00:00-04:00,17.81,18.03,18.24,17.81,758154.0
2021-09-10T00:00:00-04:00,17.46,17.91,17.97,17.415,915088.0
2021-09-13T00:00:00-04:00,17.36,17.69,17.725,17.29,1426462.0
2021-09-14T00:00:00-04:00,16.64,17.45,17.49,16.53,1466206.0
2021-09-15T00:00:00-04:00,16.61,16.56,16.76,16.4,1346105.0
2021-09-16T00:00:00-04:00,16.66,16.61,16.78,16.58,1679515.0
2021-09-17T00:00:00-04:00,17.14,16.77,17.17,16.74,3504920.0
2021-09-20T00:00:00-04:00,16.77,16.53,16.8817,16.47,1225913.0
